tabs_opened,ram_gb
13.290335,2.472161
35.12791,5.8998184
32.17056,5.1225157
27.383766,4.4457626
10.532347,1.9772139
4.565968,1.0770012
21.234163,3.7035549
9.060174,2.029809
36.53278,5.8526235
1.7609725,0.9760628
29.213932,4.975669
39.939823,6.7527957
30.266153,5.2978415
27.149086,4.6582236
1.7381406,1.1664929
39.256916,6.234859
17.164572,3.1366544
2.2790356,0.31748885
39.749676,6.4133167
12.564852,2.6137595
19.120422,3.7346241
38.34795,6.100879
6.9825864,1.8503517
6.7039456,1.1896635
23.671038,4.329178
17.889849,3.2481709
24.991665,4.286535
4.1452465,1.2524582
21.08318,3.7159224
11.827186,2.3912508
10.913628,1.8632915
2.6450806,1.1201323
30.839258,5.071323
24.256413,4.0662694
4.013857,1.2911857
35.974262,5.903672
26.381607,4.787692
24.118483,4.0820203
9.05084,1.6876599
23.44069,4.2494993
39.289032,6.3442693
33.87475,5.423948
5.312031,1.151864
38.300014,6.3195143
22.01144,3.9138005
29.87882,5.2828293
35.645187,5.619857
37.123928,5.9263525
5.2990713,1.1329453
37.575447,6.218803
7.256089,2.0013456
21.961838,3.728978
6.8741097,1.1849691
16.22495,2.828196
19.613867,3.346683
18.16711,3.1125607
17.41947,3.148102
22.037975,3.6816716
39.735165,6.592886
31.829725,5.0783615
31.409664,5.4059143
28.304825,4.610757
35.59653,5.7619424
19.600094,3.5299442
22.05049,3.602389
24.513042,4.514845
3.493455,0.99461865
4.7916408,1.2430979
22.890728,3.9011872
12.87062,2.7239032
20.14218,3.2997775
16.025553,2.7549572
23.535423,4.1020784
33.187004,5.4197073
14.032983,2.7162805
36.116783,6.042695
35.896454,6.079995
5.5337863,1.2156814
5.441589,1.2229117
4.7230396,1.2288091
9.813605,1.9481572
12.909113,2.716231
19.032246,3.3227003
15.757752,2.4207458
10.647654,1.8374974
14.304975,2.6666718
13.445982,2.451723
39.630245,6.5083213
13.2727375,2.426779
6.537982,1.5170882
28.606102,4.430752
19.37365,3.118251
35.428497,5.439085
32.684235,5.358251
38.41521,6.378664
6.2189894,1.0454679
33.035835,5.6109877
36.865154,5.7483892
10.870285,2.2117093
38.424007,6.6291995
35.11804,5.479395
20.713547,3.3071036
29.901974,4.877217
13.68238,2.8005548
3.492416,0.735541
25.42921,4.0656805
26.313442,4.201668
7.7556,1.6334093
29.957493,4.745124
3.8426583,0.90828335
37.28217,5.8834214
39.383614,6.5184965
25.809038,4.133694
8.265139,1.6314487
29.99009,5.02005
23.823107,3.8825536
25.802416,4.3139052
26.908741,4.580311
35.34643,5.8669467
12.118199,2.5815315
16.113571,2.7998137
25.817766,4.4114237
22.62474,4.287348
36.224365,5.7855825
10.257849,1.8653624
19.789875,3.4072025
24.143637,4.0143585
15.321014,2.7266505
33.793476,5.279593
22.63294,3.5902338
2.4775155,0.7084514
18.387451,3.485573
11.655641,2.2921982
22.394838,3.941899
18.23379,3.236299
1.1572835,0.5601367
16.946606,3.0620008
